factor,IS_IC,IS_t,OS_IC,OS_t
rev_5,-0.024,-1.59,0.115,4.13
low_vol_20,0.01,0.51,0.037,1.12
beta_60,-0.016,-1.57,-0.004,-0.12
range_20,-0.029,-1.4,-0.025,-0.65
mom_5_25,0.015,0.84,-0.021,-0.8
dist_high_120,0.031,0.87,-0.028,-0.86
amihud_20,-0.021,-1.82,-0.018,-0.93
mom_20,0.017,0.94,-0.032,-1.22
rsi_14,0.012,0.72,-0.072,-2.28
mom_60,0.068,2.95,-0.112,-3.73
vol_z_20,-0.003,-0.26,-0.108,-4.65
wk_rev_1w,,,,
wk_vol_share,,,,
